language,sampled_functions,maximum_exact_cost,coverage,mean_exact_minus_prediction,misses_below_interval,misses_above_interval,mean_classical_width,mean_learned_width,mean_relative_shrinkage,enumerated_functions_through_max_cost,enumeration_seconds
NAND,420,11,0.8452380952380952,-0.692538922653735,62,3,54.88721272181472,3.18309406666244,0.9288252841783179,4434723,21.086740600017947
NOR,420,11,0.861904761904762,-0.8752626226929757,58,0,54.910566984924905,3.63422495749009,0.9192603329369284,4434723,22.089898899997934
AND_OR_NOT,430,11,0.8953488372093024,-0.0531102747527404,19,26,7.224991050874676,2.1006818944471264,0.563326282526057,15631538,289.6954570999951
