language,method,calibration_functions,test_functions,lower_allowance,upper_allowance,coverage,mean_learned_width,mean_relative_shrinkage,misses_below,misses_above
NAND,n4_zero_shot,0,40,1.6534985339487456,1.5309952467514023,0.925,3.184493780700148,0.956955904678938,2,1
NAND,n5_cost_0_8_calibrated,300,40,2.6543084765753964,0.8219801550199044,0.775,3.476288631595301,0.9530117784720513,1,8
NAND,n5_affine_khat_adaptation,40,40,1.0411477990948246,2.314258576759152,0.85,3.3554063758539767,0.9546457170811606,1,5
NOR,n4_zero_shot,0,40,1.8545541465205984,1.7810282402520787,0.8,3.635582386772677,0.9522059431764719,8,0
NOR,n5_cost_0_8_calibrated,300,40,3.4849485480714844,0.36126231279584076,0.85,3.8462108608673247,0.9494369812362452,1,5
NOR,n5_affine_khat_adaptation,40,40,2.960202586502314,2.288563525707591,0.95,5.248766112209905,0.9309987234141438,0,2
AND_OR_NOT,n4_zero_shot,0,40,1.3955662915093043,1.0443074223722115,0.725,2.4398737138815156,0.8089130247428689,2,9
AND_OR_NOT,n5_cost_0_8_calibrated,310,40,1.6398084114264808,0.9560658824822825,0.675,2.5958742939087633,0.7966953108480209,2,11
AND_OR_NOT,n5_affine_khat_adaptation,40,40,2.0676685237271712,1.3068746356354906,0.7,3.374543159362662,0.7357112208191248,0,12
