language,train_functions,calibration_functions,prospective_test_functions,coverage,mean_lower_allowance,mean_upper_allowance,mean_learned_width,mean_classical_width,mean_relative_shrinkage,misses_below,misses_above
NAND,340,40,40,1.0,3.185763919568761,1.1956194662467632,4.381383385815523,83.08303510404728,0.946620794452804,0,0
NOR,340,40,40,1.0,3.911519715418166,1.174526843687128,5.086046559105293,81.24536659833521,0.9374602261065867,0,0
AND_OR_NOT,350,40,40,0.925,2.681269392988897,1.3770889683488245,4.058358361337722,14.569099612237252,0.719140154989815,0,3
