language,truth_table,exact_minimum_gates,classical_lower_k_plus_1,classical_upper_k_plus_1,predicted_k_plus_1,calibrated_lower_k_plus_1,calibrated_upper_k_plus_1,covered,n4_lower_allowance,n4_upper_allowance,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,exact_aon_cover_upper,classical_width,conditional_lower_k_plus_1,conditional_upper_k_plus_1,conditional_covered,conditional_lower_allowance,conditional_upper_allowance
NAND,13852671,11,2.951417004048583,87.0,11.649779505347338,9.996280971398592,13.18077475209874,True,1.6534985339487456,1.5309952467514023,2.951417004048583,10.0,2.34375,4.0,2.4615384615384617,2.263157894736842,1.0,0.0,0.0,0.0,2.0,5.0,4.0,7.0,3.0,3.0,,84.04858299595142,8.624142203289932,12.85091813284481,True,3.0256373020574063,1.2011386274974738
NAND,170004394,11,2.816666666666667,69.0,13.033306691200616,11.379808157251867,14.564301937952017,True,1.6534985339487456,1.5309952467514023,2.816666666666667,8.0,2.4375,3.0,2.1,3.0,0.0,1.0,2.0,1.0,3.0,5.0,3.0,4.0,2.0,1.0,,66.18333333333334,10.24701491361403,14.234668215354077,True,2.7862917775865856,1.2013615241534608
NAND,900792314,11,3.155844155844156,78.0,12.533221218303575,10.879722684354832,14.06421646505498,True,1.6534985339487456,1.5309952467514023,3.155844155844156,9.0,2.53125,4.0,3.272727272727273,2.142857142857143,0.0,0.0,3.0,3.0,4.0,7.0,3.0,4.0,2.0,4.0,,74.84415584415585,9.045151578470719,13.719656282398928,True,3.4880696398328563,1.1864350640953532
NAND,975855455,11,3.404858299595141,78.0,11.372379801459733,9.718881267510987,12.903375048211135,True,1.6534985339487456,1.5309952467514023,3.404858299595141,9.0,2.53125,4.0,3.0,2.210526315789474,1.0,0.0,1.0,2.0,2.0,6.0,2.0,3.0,4.0,4.0,,74.59514170040485,8.08506980299841,12.54962050802753,True,3.2873099984613225,1.177240706567798
NAND,1313623052,11,2.4,87.0,12.079413480457143,10.4259149465084,13.610408727208547,True,1.6534985339487456,1.5309952467514023,2.4,10.0,2.1875,4.0,2.05,2.4166666666666665,0.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,1.0,,84.6,9.021681824969757,13.4449099102816,True,3.057731655487386,1.3654964298244565
NAND,1397796608,11,3.75,78.0,13.45133849713092,11.797839963182176,14.982333743882323,True,1.6534985339487456,1.5309952467514023,3.75,9.0,2.5625,3.0,2.3,3.0,0.0,1.0,1.0,1.0,2.0,6.0,3.0,3.0,2.0,1.0,,74.25,9.876181275306298,14.633185019829952,True,3.575157221824621,1.181846522699033
NAND,1430254515,11,3.6406926406926408,87.0,12.036201803117454,10.382703269168708,13.567197049868856,True,1.6534985339487456,1.5309952467514023,3.6406926406926408,10.0,2.65625,4.0,3.272727272727273,2.333333333333333,1.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,,83.35930735930737,8.669530356268552,13.216761642233356,True,3.3666714468489003,1.180559839115903
NAND,1440568573,11,2.4,87.0,11.938441063916786,10.28494252996804,13.469436310668188,True,1.6534985339487456,1.5309952467514023,2.4,10.0,2.1875,4.0,2.4166666666666665,2.05,1.0,0.0,2.0,2.0,6.0,5.0,6.0,2.0,3.0,0.0,,84.6,9.104063202985872,13.172771392353017,True,2.834377860930914,1.2343303284362317
NAND,1482488560,11,3.768627450980392,87.0,12.765028508360531,11.111529974411788,14.296023755111936,True,1.6534985339487456,1.5309952467514023,3.768627450980392,10.0,2.71875,4.0,3.0,2.4705882352941178,0.0,0.0,1.0,3.0,2.0,7.0,5.0,4.0,4.0,2.0,,83.23137254901961,9.628409162754853,13.948681152472794,True,3.136619345605679,1.1836526441122628
NAND,1585319984,11,3.571428571428572,78.0,12.806926837664472,11.153428303715726,14.337922084415874,True,1.6534985339487456,1.5309952467514023,3.571428571428572,9.0,2.625,3.0,2.333333333333333,3.0,0.0,1.0,1.0,2.0,3.0,6.0,3.0,3.0,1.0,0.0,,74.42857142857143,9.31314474918329,14.007775107391295,True,3.49378208848118,1.2008482697268223
NAND,1595416351,11,3.111111111111111,87.0,12.490805126941115,10.83730659299237,14.021800373692518,True,1.6534985339487456,1.5309952467514023,3.111111111111111,10.0,2.46875,4.0,2.642857142857143,2.333333333333333,1.0,0.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,,83.88888888888889,9.030110747614925,13.679892446521663,True,3.46069437932619,1.189087319580547
NAND,1607101162,11,4.4089068825910935,105.0,14.32107118246562,12.667572648516874,15.852066429217022,False,1.6534985339487456,1.5309952467514023,4.4089068825910935,12.0,2.875,4.0,3.3076923076923075,2.5789473684210527,0.0,0.0,1.0,4.0,2.0,7.0,3.0,2.0,4.0,3.0,,100.5910931174089,10.861694278864654,15.507081953065832,True,3.459376903600965,1.1860107706002125
NAND,1608381429,11,3.520833333333333,87.0,12.694434939303571,11.040936405354827,14.225430186054975,True,1.6534985339487456,1.5309952467514023,3.520833333333333,10.0,2.65625,4.0,4.0,2.208333333333333,1.0,0.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,2.0,,83.47916666666667,9.246628661413563,13.882579043471619,True,3.4478062778900083,1.1881441041680478
NAND,1608451850,11,3.111111111111111,96.0,14.074968701598689,12.42147016764994,15.60596394835009,False,1.6534985339487456,1.5309952467514023,3.111111111111111,11.0,2.40625,4.0,2.5,2.333333333333333,0.0,0.0,3.0,1.0,5.0,6.0,4.0,4.0,4.0,2.0,,92.88888888888889,11.269528795673523,15.26193591248238,True,2.805439905925165,1.1869672108836926
