truth_table,mean_certificate_size,anf_terms_degree_1,khrapchenko_product,decision_tree_leaf_count,target_NAND,lower_NAND,upper_NAND,position_NAND,target_NOR,lower_NOR,upper_NOR,position_NOR,target_AND_OR_NOT,lower_AND_OR_NOT,upper_AND_OR_NOT,position_AND_OR_NOT
0,0.0,0,0.0,1,5.0,0.0,6.0,1.0,2.0,0.0,6.0,0.5,2.0,0.0,3.0,1.0
1,1.1875,4,1.0666666666666669,5,14.0,1.0666666666666669,15.0,1.0,5.0,1.0666666666666669,15.0,0.35406698564593303,4.0,1.0666666666666669,8.777777777777779,0.5100864553314121
2,1.1875,1,1.0666666666666669,5,11.0,1.0666666666666669,15.0,0.784688995215311,6.0,1.0666666666666669,15.0,0.4258373205741627,4.0,1.0666666666666669,8.777777777777779,0.5100864553314121
3,1.25,3,1.2857142857142856,4,10.0,1.2857142857142856,12.75,0.8473520249221184,3.0,1.2857142857142856,12.75,0.2367601246105919,3.0,1.2857142857142856,7.333333333333333,0.4488188976377953
4,1.1875,1,1.0666666666666669,5,11.0,1.0666666666666669,15.0,0.784688995215311,6.0,1.0666666666666669,15.0,0.4258373205741627,4.0,1.0666666666666669,8.777777777777779,0.5100864553314121
5,1.25,3,1.2857142857142856,4,10.0,1.2857142857142856,12.75,0.8473520249221184,3.0,1.2857142857142856,12.75,0.2367601246105919,3.0,1.2857142857142856,7.333333333333333,0.4488188976377953
6,1.5,2,2.2857142857142856,6,14.0,2.2857142857142856,17.25,0.8496420047732697,7.0,2.2857142857142856,17.25,0.3818615751789976,6.0,2.2857142857142856,10.222222222222221,0.5940000000000001
7,1.4375,2,1.641025641025641,5,10.0,1.641025641025641,15.0,0.7005758157389635,4.0,1.641025641025641,15.0,0.2514395393474088,4.0,1.641025641025641,8.777777777777779,0.4706586826347305
8,1.1875,0,1.0666666666666669,5,10.0,1.0666666666666669,15.0,0.7129186602870814,7.0,1.0666666666666669,15.0,0.49760765550239233,4.0,1.0666666666666669,8.777777777777779,0.5100864553314121
9,1.5,4,2.2857142857142856,6,14.0,2.2857142857142856,17.25,0.8496420047732697,8.0,2.2857142857142856,17.25,0.4486873508353222,7.0,2.2857142857142856,10.222222222222221,0.7200000000000001
10,1.25,1,1.2857142857142856,4,8.0,1.2857142857142856,12.75,0.6728971962616822,4.0,1.2857142857142856,12.75,0.32398753894080995,3.0,1.2857142857142856,7.333333333333333,0.4488188976377953
11,1.4375,3,1.641025641025641,5,11.0,1.641025641025641,15.0,0.7754318618042226,5.0,1.641025641025641,15.0,0.32629558541266795,5.0,1.641025641025641,8.777777777777779,0.6107784431137724
12,1.25,1,1.2857142857142856,4,8.0,1.2857142857142856,12.75,0.6728971962616822,4.0,1.2857142857142856,12.75,0.32398753894080995,3.0,1.2857142857142856,7.333333333333333,0.4488188976377953
13,1.4375,3,1.641025641025641,5,11.0,1.641025641025641,15.0,0.7754318618042226,5.0,1.641025641025641,15.0,0.32629558541266795,5.0,1.641025641025641,8.777777777777779,0.6107784431137724
14,1.4375,2,1.641025641025641,5,10.0,1.641025641025641,15.0,0.7005758157389635,4.0,1.641025641025641,15.0,0.2514395393474088,4.0,1.641025641025641,8.777777777777779,0.4706586826347305
15,1.25,2,1.3333333333333333,3,6.0,1.3333333333333333,10.5,0.6181818181818183,1.0,1.3333333333333333,10.5,0.07272727272727274,2.0,1.3333333333333333,5.888888888888889,0.3658536585365853
16,1.1875,1,1.0666666666666669,5,11.0,1.0666666666666669,15.0,0.784688995215311,6.0,1.0666666666666669,15.0,0.4258373205741627,4.0,1.0666666666666669,8.777777777777779,0.5100864553314121
17,1.25,3,1.2857142857142856,4,10.0,1.2857142857142856,12.75,0.8473520249221184,3.0,1.2857142857142856,12.75,0.2367601246105919,3.0,1.2857142857142856,7.333333333333333,0.4488188976377953
18,1.5,2,2.2857142857142856,6,14.0,2.2857142857142856,17.25,0.8496420047732697,7.0,2.2857142857142856,17.25,0.3818615751789976,6.0,2.2857142857142856,10.222222222222221,0.5940000000000001
19,1.4375,2,1.641025641025641,5,10.0,1.641025641025641,15.0,0.7005758157389635,4.0,1.641025641025641,15.0,0.2514395393474088,4.0,1.641025641025641,8.777777777777779,0.4706586826347305
20,1.5,2,2.2857142857142856,6,14.0,2.2857142857142856,17.25,0.8496420047732697,7.0,2.2857142857142856,17.25,0.3818615751789976,6.0,2.2857142857142856,10.222222222222221,0.5940000000000001
21,1.4375,2,1.641025641025641,5,10.0,1.641025641025641,15.0,0.7005758157389635,4.0,1.641025641025641,15.0,0.2514395393474088,4.0,1.641025641025641,8.777777777777779,0.4706586826347305
22,1.9375,3,3.692307692307693,8,18.0,3.692307692307693,21.75,0.8477103301384451,10.0,3.692307692307693,21.75,0.4046858359957401,9.0,3.692307692307693,13.11111111111111,0.6696914700544464
23,1.75,1,2.083333333333333,7,12.0,2.083333333333333,19.5,0.6267942583732058,7.0,2.083333333333333,19.5,0.3397129186602871,6.0,2.083333333333333,11.666666666666666,0.5130434782608697
24,1.75,1,2.2857142857142856,7,13.0,2.2857142857142856,19.5,0.6804979253112033,8.0,2.2857142857142856,19.5,0.3900414937759336,7.0,2.2857142857142856,11.666666666666666,0.6091370558375635
25,1.75,3,2.5641025641025643,6,13.0,2.5641025641025643,17.25,0.7786992579659537,8.0,2.5641025641025643,17.25,0.43823657791357484,7.0,2.5641025641025643,10.222222222222221,0.7098214285714286
26,1.75,2,2.5641025641025643,6,13.0,2.5641025641025643,17.25,0.7786992579659537,7.0,2.5641025641025643,17.25,0.3701440419030991,6.0,2.5641025641025643,10.222222222222221,0.5792410714285715
27,1.75,2,2.083333333333333,5,11.0,2.083333333333333,15.0,0.767741935483871,5.0,2.083333333333333,15.0,0.3032258064516129,6.0,2.083333333333333,8.777777777777779,0.7344398340248962
28,1.75,2,2.5641025641025643,6,13.0,2.5641025641025643,17.25,0.7786992579659537,7.0,2.5641025641025643,17.25,0.3701440419030991,6.0,2.5641025641025643,10.222222222222221,0.5792410714285715
29,1.75,2,2.083333333333333,5,11.0,2.083333333333333,15.0,0.767741935483871,5.0,2.083333333333333,15.0,0.3032258064516129,6.0,2.083333333333333,8.777777777777779,0.7344398340248962
30,1.875,3,3.0,7,14.0,3.0,19.5,0.7272727272727273,7.0,3.0,19.5,0.30303030303030304,7.0,3.0,11.666666666666666,0.576923076923077
31,1.5625,1,1.818181818181818,5,9.0,1.818181818181818,15.0,0.6206896551724138,4.0,1.818181818181818,15.0,0.2413793103448276,4.0,1.818181818181818,8.777777777777779,0.45718432510885343
32,1.1875,0,1.0666666666666669,5,10.0,1.0666666666666669,15.0,0.7129186602870814,7.0,1.0666666666666669,15.0,0.49760765550239233,4.0,1.0666666666666669,8.777777777777779,0.5100864553314121
33,1.5,4,2.2857142857142856,6,14.0,2.2857142857142856,17.25,0.8496420047732697,8.0,2.2857142857142856,17.25,0.4486873508353222,7.0,2.2857142857142856,10.222222222222221,0.7200000000000001
34,1.25,1,1.2857142857142856,4,8.0,1.2857142857142856,12.75,0.6728971962616822,4.0,1.2857142857142856,12.75,0.32398753894080995,3.0,1.2857142857142856,7.333333333333333,0.4488188976377953
35,1.4375,3,1.641025641025641,5,11.0,1.641025641025641,15.0,0.7754318618042226,5.0,1.641025641025641,15.0,0.32629558541266795,5.0,1.641025641025641,8.777777777777779,0.6107784431137724
36,1.75,1,2.2857142857142856,7,13.0,2.2857142857142856,19.5,0.6804979253112033,8.0,2.2857142857142856,19.5,0.3900414937759336,7.0,2.2857142857142856,11.666666666666666,0.6091370558375635
37,1.75,3,2.5641025641025643,6,13.0,2.5641025641025643,17.25,0.7786992579659537,8.0,2.5641025641025643,17.25,0.43823657791357484,7.0,2.5641025641025643,10.222222222222221,0.7098214285714286
38,1.75,2,2.5641025641025643,6,13.0,2.5641025641025643,17.25,0.7786992579659537,7.0,2.5641025641025643,17.25,0.3701440419030991,6.0,2.5641025641025643,10.222222222222221,0.5792410714285715
