truth_table,bias,influence_0,influence_1,influence_2,influence_3,fourier_energy_degree_0,fourier_energy_degree_1,fourier_energy_degree_2,fourier_energy_degree_3,fourier_energy_degree_4,algebraic_degree,input_symmetries,anf_terms_degree_0,fourier_l1_degree_0,fourier_negative_degree_0,fourier_zero_degree_0,anf_terms_degree_1,fourier_l1_degree_1,fourier_negative_degree_1,fourier_zero_degree_1,anf_terms_degree_2,fourier_l1_degree_2,fourier_negative_degree_2,fourier_zero_degree_2,anf_terms_degree_3,fourier_l1_degree_3,fourier_negative_degree_3,fourier_zero_degree_3,anf_terms_degree_4,fourier_l1_degree_4,fourier_negative_degree_4,fourier_zero_degree_4,sensitivity_variance,maximum_local_sensitivity,zero_conditional_sensitivity,one_conditional_sensitivity,khrapchenko_product,order_2_derivative_std,order_2_derivative_max,order_3_derivative_std,order_3_derivative_max,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,constant_faces_codimension_1,constant_faces_codimension_2,constant_faces_codimension_3,decision_tree_depth,decision_tree_leaf_count,and_factorable_partitions,or_factorable_partitions,xor_factorable_partitions,prime_0_count,prime_0_mean_literals,prime_0_minimum_literals,prime_1_count,prime_1_mean_literals,prime_1_minimum_literals,one_region_components,zero_region_components,total_monochromatic_components,maximum_absolute_walsh,fourier_entropy,canalizing_variable_count,cofactor_orbit_diversity,target_NAND,target_NOR,target_AND_OR_NOT
9559,0,4,8,8,12,0,112,48,80,16,3,2,1,0,0,1,0,20,0,0,4,12,1,3,3,12,1,2,0,4,1,0,1.0,4,2.0,2.0,4.0,0.144337567297,0.75,0.108253175473,0.75,2.4375,4,2.5,2.375,0,3,16,4,8,0,0,0,5,2.8,2,4,2.75,2,2,1,3,8,3.0,0,6,12,13,10
9560,-4,4,12,12,12,16,16,48,176,0,3,2,0,4,1,0,2,4,0,3,3,12,3,3,3,20,1,1,0,0,0,1,0.75,4,2.0,3.3333333333333335,6.666666666666667,0.25,0.75,0.272431183971,0.75,3.125,4,3.0,3.3333333333333335,0,0,12,4,10,0,0,0,10,3.0,3,4,3.5,3,4,1,5,12,2.216917186688699,0,6,16,15,13
9561,-2,6,10,10,14,4,48,24,176,4,4,2,1,2,1,0,2,12,0,0,3,12,3,0,1,24,1,0,1,2,0,0,0.75,4,2.2222222222222223,2.857142857142857,6.34920634920635,0.125,0.625,0.176776695297,0.625,3.1875,4,3.111111111111111,3.2857142857142856,0,0,12,4,11,0,0,0,9,3.111111111111111,3,6,3.3333333333333335,3,3,2,5,10,2.848681565885773,0,6,18,17,15
9562,-2,2,14,14,14,4,16,24,208,4,4,6,0,2,1,0,3,8,0,0,0,12,6,0,0,20,1,0,1,2,1,0,0.4375,4,2.4444444444444446,3.142857142857143,7.682539682539683,0.375,0.875,0.324759526419,0.875,3.0625,4,3.0,3.142857142857143,0,0,10,4,9,0,0,0,7,3.0,3,4,3.25,3,4,2,6,14,1.7012377755992936,0,4,16,16,13
9563,0,4,12,12,12,0,64,0,192,0,3,6,1,0,0,1,1,16,0,0,6,0,0,6,4,24,1,0,0,0,0,1,0.75,4,2.5,2.5,6.25,0.25,0.75,0.216506350946,0.75,3.125,4,3.125,3.125,0,0,12,4,10,0,0,0,7,3.142857142857143,3,7,3.142857142857143,3,2,2,4,12,2.216917186688699,0,4,18,18,15
9564,-2,6,10,10,10,4,48,88,112,4,4,2,0,2,1,0,3,12,1,0,4,20,4,0,2,16,2,0,1,2,1,0,0.6875,4,2.0,2.5714285714285716,5.142857142857143,0.186338998125,0.875,0.272431183971,0.875,3.0625,4,3.0,3.142857142857143,0,0,14,4,9,0,0,0,9,3.0,3,6,3.1666666666666665,3,2,1,3,10,2.848681565885773,0,6,16,15,13
9565,0,4,8,8,12,0,96,64,96,0,3,2,1,0,0,1,1,16,0,1,2,16,2,2,2,16,1,1,0,0,0,1,0.75,4,2.0,2.0,4.0,0.093169499062,0.75,0.176776695297,0.75,2.6875,4,3.0,2.375,0,2,16,4,9,0,0,0,8,3.0,3,4,2.75,2,2,1,3,8,3.0,0,6,12,14,11
9566,0,4,12,12,12,0,48,48,144,16,3,6,0,0,0,1,4,12,0,1,3,12,3,3,3,12,1,3,0,4,1,0,0.75,4,2.5,2.5,6.25,0.25,0.75,0.324759526419,1.0,3.125,4,3.125,3.125,0,0,12,4,10,0,0,0,7,3.142857142857143,3,7,3.142857142857143,3,2,2,4,12,2.216917186688699,0,4,18,17,14
9567,2,2,10,10,10,4,112,24,112,4,4,6,1,2,0,0,0,20,0,0,3,12,3,0,1,16,1,0,1,2,1,0,1.0,4,2.2857142857142856,1.7777777777777777,4.063492063492063,0.125,0.625,0.216506350946,0.875,2.5625,4,3.0,2.2222222222222223,0,3,16,4,8,0,0,0,6,3.0,3,4,2.5,2,2,1,3,10,2.848681565885773,0,4,10,15,10
9568,-6,6,6,10,10,36,16,120,80,4,4,1,0,6,1,0,1,8,2,0,4,24,5,0,2,16,2,0,1,2,0,0,1.0,4,1.4545454545454546,3.2,4.654545454545455,0.125,0.625,0.0,0.375,2.5625,4,2.272727272727273,3.2,0,3,16,4,8,0,0,0,7,2.5714285714285716,2,3,3.3333333333333335,3,3,1,4,6,3.325375780033049,0,7,13,10,10
