feature_family,component,descriptor_classes,language,ceiling_r2,ceiling_gain
fourier_absolute_shape,degree_1_rank_2,677,AND_OR_NOT,0.9318108399163957,0.0011889131208940862
fourier_absolute_shape,degree_1_rank_3,677,NAND,0.8940147693105985,0.0005702376867365855
fourier_absolute_shape,degree_1_rank_3,677,NOR,0.8940147693105985,0.0005702376867365855
fourier_absolute_shape,degree_1_rank_3,677,AND_OR_NOT,0.9318108399163957,0.0011889131208940862
fourier_absolute_shape,degree_2_rank_0,675,NAND,0.893444531623862,0.0
fourier_absolute_shape,degree_2_rank_0,675,NOR,0.893444531623862,0.0
fourier_absolute_shape,degree_2_rank_0,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_absolute_shape,degree_2_rank_1,675,NAND,0.893444531623862,0.0
fourier_absolute_shape,degree_2_rank_1,675,NOR,0.893444531623862,0.0
fourier_absolute_shape,degree_2_rank_1,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_absolute_shape,degree_2_rank_2,677,NAND,0.8935202136295918,7.568200572982686e-05
fourier_absolute_shape,degree_2_rank_2,677,NOR,0.8935202136295918,7.568200572982686e-05
fourier_absolute_shape,degree_2_rank_2,677,AND_OR_NOT,0.9306259722465746,4.045451073020345e-06
fourier_absolute_shape,degree_2_rank_3,685,NAND,0.8936176261122143,0.0001730944883523433
fourier_absolute_shape,degree_2_rank_3,685,NOR,0.8936176261122143,0.0001730944883523433
fourier_absolute_shape,degree_2_rank_3,685,AND_OR_NOT,0.9311127106455147,0.0004907838500131101
fourier_absolute_shape,degree_2_rank_4,683,NAND,0.8935419441064845,9.741248262251645e-05
fourier_absolute_shape,degree_2_rank_4,683,NOR,0.8935419441064845,9.741248262251645e-05
fourier_absolute_shape,degree_2_rank_4,683,AND_OR_NOT,0.9311086651944418,0.00048673839894020077
fourier_absolute_shape,degree_2_rank_5,685,NAND,0.8936176261122143,0.0001730944883523433
fourier_absolute_shape,degree_2_rank_5,685,NOR,0.8936176261122143,0.0001730944883523433
fourier_absolute_shape,degree_2_rank_5,685,AND_OR_NOT,0.9311127106455147,0.0004907838500131101
fourier_absolute_shape,degree_3_rank_0,675,NAND,0.893444531623862,0.0
fourier_absolute_shape,degree_3_rank_0,675,NOR,0.893444531623862,0.0
