cohort,functions,functions_improved,restriction_improved,factor_improved,mean_existing_upper,mean_construction_upper,mean_certified_improvement
upper_tail,80,80,80,0,24.6625,15.7375,8.925
random_reference,40,39,39,0,19.95,15.0,4.95
