model,functions,coverage,mean_reduction,functions_improved,low_offset,medium_offset,high_offset
teacher,65536,1.0,0.21241823820802166,17391,1.1831897384088137,1.1294865552388424,0.6647490381449463
student,65536,1.0,0.024470543005753066,2078,1.6925968819326973,1.5770600814168847,2.4488573020651145
