policy,calibration_targeted_only,additive_margin,coverage,targeted_coverage,random_coverage,misses,maximum_violation,mean_reduction,targeted_mean_reduction,improved_fraction,fraction_of_baseline_gain
frozen_baseline,False,,0.95,0.925,1.0,6,0.4006555504013498,0.8794558174326041,1.1744292466083706,0.825,1.0
frozen_unit_reduction_cap,False,,1.0,1.0,1.0,0,0.0,0.7483373121992642,0.9777514887583605,0.825,0.850909502632987
frozen_abstain_endpoint_16,False,,1.0,1.0,1.0,0,0.0,0.7536088810942637,1.0365292075070875,0.6833333333333333,0.8569036285350576
score_only_all,False,1.6280522929865011,0.925,0.8875,1.0,9,0.7320682817371642,1.0323822997399352,1.4727993212292385,0.7833333333333333,1.1738876237737212
score_only_selected,True,1.6280522929865011,0.925,0.8875,1.0,9,0.7320682817371642,1.0323822997399352,1.4727993212292385,0.7833333333333333,1.1738876237737212
construction_aware_all,False,1.393393950027552,0.675,0.675,0.675,39,0.8299397540525826,1.9113611100271204,2.1925097592681695,1.0,2.173345234791849
construction_aware_selected,True,1.393393950027552,0.675,0.675,0.675,39,0.8299397540525826,1.9113611100271204,2.1925097592681695,1.0,2.173345234791849
full_restriction_witness_all,False,1.435213858146828,0.6833333333333333,0.65,0.75,38,1.0749669165859554,1.9220047662727746,2.318245071838909,0.9833333333333333,2.1854477827933234
full_restriction_witness_selected,True,1.435213858146828,0.6833333333333333,0.65,0.75,38,1.0749669165859554,1.9220047662727746,2.318245071838909,0.9833333333333333,2.1854477827933234
