policy,cost12_margin,cost13_coverage,cost13_misses,cost13_mean_reduction,cost13_maximum_violation
score_only_all,0.8553047713547772,0.9166666666666666,10,1.10487958051892,0.7727475216317239
score_only_selected,0.3079745658898465,0.8583333333333333,17,1.6815851129001946,1.3200777270966544
construction_aware_all,0.5952610801118458,0.675,39,2.177369281998779,0.7981328699157064
construction_aware_selected,0.13581969896760893,0.38333333333333336,74,2.5335507026481254,1.2575742510599435
full_restriction_witness_all,0.43328670174095296,0.525,57,2.342429658358157,1.0019271564058752
full_restriction_witness_selected,0.15269567060292322,0.35833333333333334,77,2.5579929476774574,1.2825181875439045
