truth_table,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,exact_aon_cover_upper,exact_minimum_gates,classical_lower_k_plus_1,classical_upper_k_plus_1,predicted_k_plus_1,classical_width,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,construction_upper_k_plus_1,prime_cover_slack,cohort,baseline_lower_k_plus_1,baseline_upper_k_plus_1,baseline_covered,structure_augmented_lower_k_plus_1,structure_augmented_upper_k_plus_1,structure_augmented_covered,inputs,existing_upper_k_plus_1,source,restriction_gain,factor_gain,exact_k_plus_1,true_slack,residual_slack,model,predicted_residual_slack,calibration_offset,learned_reduction_beyond_construction,refined_upper_k_plus_1,covered
4002019737,5.5425101214574894,13.0,2.9375,4.0,3.3846153846153846,2.631578947368421,1.0,0.0,2.0,4.0,2.0,1.0,5.0,4.0,3.0,5.0,26,12,5.5425101214574894,26.0,14.721612093117672,20.45748987854251,0.0,0.0,0.0,16.0,189.0,16.0,11.278387906882328,cost_12_upper_tail,12.106912795363169,16.170309057254286,True,12.226833779129525,16.101549182812533,True,5,26.0,n5_cost_12_challenge,10.0,0.0,13,13.0,3.0,teacher,2.0691369658812433,1.900001760713045,0.16913520516819824,15.830864794831802,True
4048822036,4.803921568627451,13.0,2.84375,4.0,2.588235294117647,3.1333333333333333,0.0,1.0,3.0,3.0,4.0,6.0,5.0,8.0,5.0,2.0,27,12,4.803921568627451,27.0,15.88912860736088,22.19607843137255,0.0,0.0,0.0,18.0,189.0,18.0,11.11087139263912,cost_12_upper_tail,13.149936781579598,17.320248967187503,False,13.101230255263255,17.2748530578694,False,5,27.0,n5_cost_12_challenge,9.0,0.0,13,14.0,5.0,teacher,1.8784949348841562,1.900001760713045,0.0,18.0,True
1381003818,4.266666666666667,11.0,2.8125,4.0,2.6,3.1666666666666665,0.0,1.0,1.0,2.0,3.0,5.0,6.0,4.0,2.0,0.0,24,12,4.266666666666667,24.0,12.91045249060575,19.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,11.08954750939425,cost_12_upper_tail,10.100283571719016,14.332917879122274,True,10.317964679846128,14.281664335829468,True,5,24.0,n5_cost_12_challenge,10.0,0.0,13,11.0,1.0,teacher,2.1060474203545843,1.900001760713045,0.2060456596415392,13.79395434035846,True
4114057898,4.587301587301587,12.0,2.9375,4.0,2.857142857142857,3.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,6.0,4.0,0.0,26,12,4.587301587301587,26.0,14.924335633966963,21.41269841269841,0.0,0.0,0.0,15.0,189.0,15.0,11.075664366033037,cost_12_upper_tail,12.161656451565648,16.326697483239784,True,12.299826684276567,16.277550616149053,True,5,26.0,n5_cost_12_challenge,11.0,0.0,13,13.0,2.0,teacher,2.211569148111263,1.900001760713045,0.3115673873982181,14.688432612601781,True
2776925678,5.368627450980392,14.0,3.0625,4.0,3.0588235294117645,3.066666666666667,0.0,1.0,3.0,2.0,4.0,6.0,4.0,8.0,4.0,4.0,27,12,5.368627450980392,27.0,16.006969197630912,21.63137254901961,0.0,0.0,0.0,16.0,189.0,16.0,10.993030802369088,cost_12_upper_tail,13.167592230314108,17.476977660586012,False,13.21081385506954,17.40849289612736,False,5,27.0,n5_cost_12_challenge,11.0,0.0,13,14.0,3.0,teacher,1.9391525950580257,1.900001760713045,0.03915083434498068,15.96084916565502,True
682114238,4.270588235294118,12.0,2.75,3.0,2.5294117647058822,3.0,0.0,1.0,3.0,3.0,6.0,4.0,3.0,4.0,4.0,5.0,25,12,4.270588235294118,25.0,14.174634092479453,20.729411764705883,0.0,0.0,0.0,18.0,189.0,18.0,10.825365907520547,cost_12_upper_tail,11.636370289151294,15.672018613608348,True,11.722741056833232,15.59810404440904,True,5,25.0,n5_cost_12_challenge,7.0,0.0,13,12.0,5.0,teacher,1.7484354195545349,1.900001760713045,0.0,18.0,True
2306969559,4.515625,12.0,3.0625,4.0,3.125,3.0,1.0,0.0,0.0,1.0,6.0,1.0,4.0,5.0,2.0,3.0,25,12,4.515625,25.0,14.17722399811945,20.484375,0.0,0.0,0.0,16.0,189.0,16.0,10.82277600188055,cost_12_upper_tail,11.364336397876402,15.646902573257297,True,11.546548916229114,15.55807525846266,True,5,25.0,n5_cost_12_challenge,9.0,0.0,13,12.0,3.0,teacher,2.7525126767524513,1.900001760713045,0.8525109160394062,15.147489083960593,True
4054947735,5.5425101214574894,12.0,2.90625,4.0,3.3846153846153846,2.5789473684210527,1.0,0.0,0.0,2.0,5.0,2.0,2.0,6.0,3.0,4.0,25,12,5.5425101214574894,25.0,14.29363219731035,19.45748987854251,0.0,0.0,0.0,17.0,189.0,17.0,10.70636780268965,cost_12_upper_tail,11.506247104091477,15.75788699520498,True,11.76353175557738,15.673257763853474,True,5,25.0,n5_cost_12_challenge,8.0,0.0,13,12.0,4.0,teacher,2.9931316950899163,1.900001760713045,1.0931299343768712,15.906870065623128,True
3452458272,3.890688259109312,12.0,3.0625,5.0,3.0,3.1538461538461537,0.0,1.0,1.0,4.0,2.0,4.0,6.0,6.0,2.0,3.0,24,12,3.890688259109312,24.0,13.306737833897444,20.10931174089069,0.0,0.0,0.0,17.0,189.0,17.0,10.693262166102556,cost_12_upper_tail,10.62215386493415,14.766101742818051,True,10.66762579809497,14.73286493516228,True,5,24.0,n5_cost_12_challenge,7.0,0.0,13,11.0,4.0,teacher,1.9898621713091482,1.900001760713045,0.08986041059610317,16.910139589403897,True
711649472,4.4089068825910935,13.0,2.78125,4.0,2.473684210526316,3.230769230769231,0.0,1.0,0.0,5.0,2.0,7.0,2.0,2.0,4.0,3.0,26,12,4.4089068825910935,26.0,15.323638091463684,21.591093117408906,0.0,0.0,0.0,16.0,189.0,16.0,10.676361908536316,cost_12_upper_tail,12.660205841828608,16.769209928676098,True,12.760280664328048,16.75202005695955,True,5,26.0,n5_cost_12_challenge,10.0,0.0,13,13.0,3.0,teacher,2.099136702134551,1.900001760713045,0.199134941421506,15.800865058578495,True
1403680672,4.515625,11.0,2.8125,4.0,2.625,3.0,0.0,0.0,1.0,3.0,2.0,6.0,5.0,4.0,2.0,0.0,23,12,4.515625,23.0,12.39322176912571,18.484375,0.0,0.0,0.0,14.0,189.0,14.0,10.60677823087429,cost_12_upper_tail,9.697609262389305,13.804647353896543,True,9.778188932811924,13.773141590667889,True,5,23.0,n5_cost_12_challenge,9.0,0.0,13,10.0,1.0,teacher,2.1818804273882417,1.900001760713045,0.2818786666751967,13.718121333324802,True
118977636,5.142857142857143,12.0,2.90625,4.0,2.611111111111111,3.2857142857142856,0.0,1.0,2.0,0.0,4.0,5.0,4.0,5.0,2.0,1.0,26,12,5.142857142857143,26.0,15.480917011751984,20.857142857142858,0.0,0.0,0.0,16.0,189.0,16.0,10.519082988248016,cost_12_upper_tail,12.74110284359976,16.89822174932044,True,12.823779977885671,16.85558651540211,True,5,26.0,n5_cost_12_challenge,10.0,0.0,13,13.0,3.0,teacher,2.3403148121463095,1.900001760713045,0.4403130514332645,15.559686948566736,True
2948467246,3.571428571428572,13.0,2.6875,4.0,3.071428571428572,2.388888888888889,0.0,0.0,2.0,2.0,5.0,3.0,6.0,5.0,2.0,2.0,25,12,3.571428571428572,25.0,14.510288305045515,21.428571428571427,0.0,0.0,0.0,16.0,189.0,16.0,10.489711694954485,cost_12_upper_tail,11.829346197155026,15.935344802715797,True,11.89702929151914,15.887674484088652,True,5,25.0,n5_cost_12_challenge,9.0,0.0,13,12.0,3.0,teacher,1.972984896582294,1.900001760713045,0.07298313586924898,15.927016864130751,True
250891980,4.0,12.0,3.03125,4.0,3.0625,3.0,0.0,0.0,1.0,1.0,2.0,7.0,5.0,4.0,2.0,0.0,23,12,4.0,23.0,12.51678584562583,19.0,0.0,0.0,0.0,15.0,189.0,15.0,10.48321415437417,cost_12_upper_tail,9.706798829614112,13.919929580057504,True,9.861840852701974,13.879928438345058,True,5,23.0,n5_cost_12_challenge,8.0,0.0,13,10.0,2.0,teacher,2.5924061733399393,1.900001760713045,0.6924044126268942,14.307595587373106,True
3114401205,4.266666666666667,12.0,2.8125,4.0,3.1666666666666665,2.6,1.0,0.0,1.0,2.0,4.0,2.0,6.0,3.0,1.0,4.0,25,12,4.266666666666667,25.0,14.569168068183972,20.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,10.430831931816028,cost_12_upper_tail,11.736724521363405,16.051472273460462,True,12.007325808378663,15.969306262696842,True,5,25.0,n5_cost_12_challenge,11.0,0.0,13,12.0,1.0,teacher,1.70585728321124,1.900001760713045,0.0,14.0,True
2769627690,5.5425101214574894,11.0,2.84375,4.0,2.5789473684210527,3.230769230769231,0.0,1.0,2.0,3.0,0.0,3.0,3.0,8.0,2.0,2.0,25,12,5.5425101214574894,25.0,14.570031498805436,19.45748987854251,0.0,0.0,0.0,15.0,189.0,15.0,10.429968501194564,cost_12_upper_tail,11.88411135857548,15.998707847045983,True,11.951180352909269,15.967043458514675,True,5,25.0,n5_cost_12_challenge,10.0,0.0,13,12.0,2.0,teacher,2.234142878321974,1.900001760713045,0.33414111760892906,14.66585888239107,True
241043582,3.768627450980392,12.0,2.78125,4.0,2.5294117647058822,3.066666666666667,0.0,1.0,3.0,3.0,6.0,6.0,5.0,6.0,4.0,4.0,25,12,3.768627450980392,25.0,14.574390559580872,21.231372549019607,0.0,0.0,0.0,15.0,189.0,15.0,10.425609440419128,cost_12_upper_tail,11.890569508061718,16.041466298974075,True,11.810768058793002,15.994842922022526,True,5,25.0,n5_cost_12_challenge,10.0,0.0,13,12.0,2.0,teacher,1.9387692782571624,1.900001760713045,0.038767517544117336,14.961232482455882,True
3439933187,4.587301587301587,12.0,2.78125,4.0,2.555555555555556,3.071428571428572,1.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,25,12,4.587301587301587,25.0,14.595364783558791,20.41269841269841,0.0,0.0,0.0,18.0,189.0,18.0,10.404635216441209,cost_12_upper_tail,11.900716207195774,16.02899586570014,True,12.170348746582452,15.991020640299707,True,5,25.0,n5_cost_12_challenge,7.0,0.0,13,12.0,5.0,teacher,1.6156782516779595,1.900001760713045,0.0,18.0,True
2947583994,4.266666666666667,12.0,2.8125,4.0,3.1666666666666665,2.6,0.0,0.0,3.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,24,12,4.266666666666667,24.0,13.61101941922928,19.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,10.38898058077072,cost_12_upper_tail,10.87063250419095,15.03747778989968,True,11.015993746923172,14.968133539625809,True,5,24.0,n5_cost_12_challenge,10.0,0.0,13,11.0,1.0,teacher,2.2382210587079756,1.900001760713045,0.33821929799493056,13.66178070200507,True
4091982574,4.16017316017316,13.0,2.71875,4.0,3.272727272727273,2.4285714285714284,0.0,0.0,2.0,3.0,4.0,5.0,6.0,6.0,3.0,2.0,25,12,4.16017316017316,25.0,14.635012575754002,20.83982683982684,0.0,0.0,0.0,14.0,189.0,14.0,10.364987424245998,cost_12_upper_tail,12.011264921930984,16.05464327926543,True,12.013653965187258,16.017726854492146,True,5,25.0,n5_cost_12_challenge,11.0,0.0,13,12.0,1.0,teacher,2.0107737703187265,1.900001760713045,0.11077200960568145,13.889227990394318,True
301662226,3.155844155844156,12.0,2.5,4.0,2.142857142857143,3.1818181818181817,0.0,1.0,3.0,2.0,7.0,6.0,3.0,6.0,3.0,5.0,25,12,3.155844155844156,25.0,14.680619081456424,21.844155844155843,0.0,0.0,0.0,17.0,189.0,17.0,10.319380918543576,cost_12_upper_tail,11.708162915134816,16.105693075058753,True,11.896330185683889,16.028559081744536,True,5,25.0,n5_cost_12_challenge,8.0,0.0,13,12.0,4.0,teacher,2.5766689764403488,1.900001760713045,0.6766672157273037,16.323332784272697,True
2877403075,4.270588235294118,13.0,2.8125,4.0,3.066666666666667,2.588235294117647,1.0,0.0,2.0,2.0,2.0,3.0,6.0,5.0,2.0,4.0,24,12,4.270588235294118,24.0,13.717631346799228,19.729411764705883,0.0,0.0,0.0,16.0,189.0,16.0,10.282368653200772,cost_12_upper_tail,10.952209547060171,15.162150716757427,True,11.08852066710214,15.09159205798024,True,5,24.0,n5_cost_12_challenge,8.0,0.0,13,11.0,3.0,teacher,2.0241009209399476,1.900001760713045,0.1240991602269026,15.875900839773097,True
3035555052,3.890688259109312,13.0,2.65625,5.0,3.1538461538461537,2.3157894736842106,0.0,0.0,1.0,4.0,2.0,7.0,6.0,5.0,4.0,2.0,23,12,3.890688259109312,23.0,12.738712852214457,19.10931174089069,0.0,0.0,0.0,17.0,189.0,17.0,10.261287147785543,cost_12_upper_tail,10.14366555254113,14.132404465363033,True,10.088031166369774,14.112074083979676,True,5,23.0,n5_cost_12_challenge,6.0,0.0,13,10.0,4.0,teacher,2.283927173223875,1.900001760713045,0.38392541251083,16.61607458748917,True
3120721952,3.5636363636363635,12.0,2.5,4.0,2.136363636363636,3.3,0.0,1.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,24,12,3.5636363636363635,24.0,13.749247318757616,20.436363636363637,0.0,0.0,0.0,16.0,189.0,16.0,10.250752681242384,cost_12_upper_tail,10.988720793691842,15.147826167363808,True,11.266979203896812,15.123984664091855,True,5,24.0,n5_cost_12_challenge,8.0,0.0,13,11.0,3.0,teacher,2.1841220741718947,1.900001760713045,0.2841203134588497,15.71587968654115,True
3140656922,4.063492063492063,13.0,3.0625,4.0,3.142857142857143,3.0,0.0,0.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,26,12,4.063492063492063,26.0,15.753570626776767,21.936507936507937,0.0,0.0,0.0,17.0,189.0,17.0,10.246429373223233,cost_12_upper_tail,12.928996538888727,17.176093591944998,True,13.0737813168892,17.118312582398314,False,5,26.0,n5_cost_12_challenge,9.0,0.0,13,13.0,4.0,teacher,1.9504991647689436,1.900001760713045,0.05049740405589853,16.9495025959441,True
