cohort,functions,coverage,misses,mean_construction_upper,mean_refined_upper,mean_reduction_beyond_construction,functions_improved,maximum_violation
targeted,80,0.9875,1,16.7625,15.874858429432198,0.8876415705678049,80,0.2608186755221631
random_reference,40,1.0,0,15.925,15.858671151911278,0.066328848088723,10,0.0
