model,selection_functions,selection_offset,selection_coverage,selection_mean_reduction,selection_functions_improved
squared_boosting,13203,1.4051214568704946,1.0,0.14001379774198963,3668
lower_quantile_boosting,13203,0.0,1.0,0.0,0
