model,functions,audit_offset,coverage,mean_reduction,functions_improved,maximum_reduction,combined_coverage,mean_combined_reduction,functions_beyond_construction,mean_reduction_beyond_construction
boosting,65536,1.2785676762684086,1.0,1.0628859826185417,57176,4.921260836698693,1.0,1.3047525562896605,22408,0.18293994778271638
shallow_tree,65536,2.4057377049180455,1.0,0.27740677769519917,26488,2.996561145656677,1.0,1.127511789804395,574,0.005699181297450905
ridge,65536,1.8526464517353665,1.0,0.595433694806394,45221,4.349871635440689,1.0,1.138357354387803,5332,0.016544745880858844
