model,cohort,functions,coverage,misses,mean_existing_upper,mean_construction_upper,mean_learned_upper,mean_combined_upper,mean_reduction,functions_improved,functions_beyond_construction,mean_reduction_beyond_construction,maximum_violation
boosting,cost_11,40,0.975,1,18.2,13.675,14.227639488816118,13.404078632423381,3.9723605111838842,40,15,0.27092136757661983,0.43007130264059334
boosting,cost_12_upper_tail,80,1.0,0,24.6625,15.7375,20.376363976289856,15.7375,4.286136023710145,80,0,0.0,0.0
boosting,cost_12_random_reference,40,1.0,0,19.95,15.0,15.918329342091926,14.70636863743727,4.031670657908073,40,13,0.29363136256273054,0.0
shallow_tree,cost_11,40,0.95,2,18.2,13.675,13.872907562379458,13.347800032148973,4.32709243762054,40,18,0.32719996785102934,1.0
shallow_tree,cost_12_upper_tail,80,1.0,0,24.6625,15.7375,19.909035148889622,15.7375,4.753464851110386,80,0,0.0,0.0
shallow_tree,cost_12_random_reference,40,0.975,1,19.95,15.0,15.431880427342424,14.6180072193971,4.518119572657576,40,15,0.38199278060289865,0.7605839346662524
ridge,cost_11,40,0.975,1,18.2,13.675,14.338994935349728,13.62204878515561,3.8610050646502723,40,7,0.0529512148443894,0.06192044143150177
ridge,cost_12_upper_tail,80,1.0,0,24.6625,15.7375,16.48246138550852,15.706340100654714,8.180038614491481,80,13,0.031159899345287602,0.0
ridge,cost_12_random_reference,40,1.0,0,19.95,15.0,15.512158442302418,14.889067003690254,4.437841557697581,40,13,0.1109329963097454,0.0
