language,method,nominal_coverage,mean_lower_allowance,mean_upper_allowance,maximum_lower_allowance,maximum_upper_allowance,function_coverage,mean_classical_width,mean_learned_width,mean_relative_shrinkage,median_relative_shrinkage,fraction_strictly_narrower,mean_classical_integer_candidates,mean_learned_integer_candidates,mean_integer_candidate_reduction,class_coverage
NAND,cross_fitted_exhaustive_max_residual,1.0,4.239566800303827,3.9255426288388717,4.239566800303827,3.9255426288388717,1.0,18.378763147151517,8.1573167345,0.5467372139440821,0.5610156220891023,0.9999847412109375,18.347076416015625,8.160736083984375,0.5454829125842434,1.0
NAND,split_conformal_class_worst,0.9,1.3253798889806112,1.2663232899331667,1.4694637569731235,1.3446983213714452,0.9183349609375,18.378763147151517,2.5903044990338975,0.8560038049733179,0.8598548041706406,1.0,18.347076416015625,2.588775634765625,0.8556513413887838,0.9018218623481782
NAND,split_conformal_class_worst,0.95,1.6722643544134796,1.5603512981603056,1.8006955902055566,1.7280977060958698,0.963104248046875,18.378763147151517,3.231981413924788,0.8203148561107863,0.8242221290925242,1.0,18.347076416015625,3.2274017333984375,0.8202149320123693,0.9509109311740891
NAND,split_conformal_class_worst,0.99,2.5328372572993523,2.2581422954643644,2.979235778781934,2.3728694646708846,0.9934234619140625,18.378763147151517,4.7852328931580415,0.734043481038034,0.7412333240673874,1.0,18.347076416015625,4.784454345703125,0.7334253845308054,0.9898785425101214
NOR,cross_fitted_exhaustive_max_residual,1.0,3.610778429876728,4.106361875858599,3.610778429876728,4.106361875858599,1.0,18.378763147151517,7.713484978888401,0.5712606986558666,0.5850999835626168,0.999969482421875,18.347076416015625,7.7015533447265625,0.5709253394852913,1.0
NOR,split_conformal_class_worst,0.9,1.5442160623229853,1.498741966354825,1.5724147907069543,1.6083146784954288,0.9230194091796875,18.378763147151517,3.042616824776801,0.8308441093695783,0.8334391911236549,1.0,18.347076416015625,3.0481719970703125,0.8300677907024112,0.9038461538461539
NOR,split_conformal_class_worst,0.95,1.9147359042199086,1.8296805522772772,2.0497372473667834,1.9321419304696796,0.9663238525390625,18.378763147151517,3.7430973180507454,0.791921951721282,0.7968454516438175,1.0,18.347076416015625,3.73760986328125,0.7918016159672077,0.9526821862348178
NOR,split_conformal_class_worst,0.99,2.813433884214516,2.6076881980929905,3.162489043198132,2.9632799695335095,0.996978759765625,18.378763147151517,5.418389294701458,0.698807651903944,0.706239963289881,1.0,18.347076416015625,5.4116363525390625,0.6984734794660978,0.9944331983805668
AND_OR_NOT,cross_fitted_exhaustive_max_residual,1.0,2.7429012598130065,2.0121166591341275,2.7429012598130065,2.0121166591341275,1.0,9.066909950265662,4.552781609042752,0.47864949015091185,0.5019606707831504,0.99359130859375,9.14801025390625,4.652099609375,0.4717070766791531,1.0
AND_OR_NOT,split_conformal_class_worst,0.9,1.0758375286895805,0.9204499123791259,1.2353570566413925,0.9601150327001644,0.91912841796875,9.066909950265662,1.9792252441801257,0.7709976819354178,0.7858103015391766,0.99969482421875,9.14801025390625,1.9933624267578125,0.77119471426875,0.9056174089068826
AND_OR_NOT,split_conformal_class_worst,0.95,1.3675517323707698,1.1268327639936846,1.6606291913603073,1.2042925727297575,0.9636383056640625,9.066909950265662,2.4643773924222505,0.7153288850866361,0.7321255149252024,0.9994659423828125,9.14801025390625,2.4764404296875,0.7167708345358798,0.9524291497975709
AND_OR_NOT,split_conformal_class_worst,0.99,1.9290506498052378,1.538438733702297,2.201360389146167,1.693647246911695,0.9924468994140625,9.066909950265662,3.3851463151202967,0.6105840996424537,0.6328578898628431,0.998382568359375,9.14801025390625,3.4210968017578125,0.6097714687825466,0.9903846153846154
