language,model,features,point_r2,point_rmse,nominal_coverage,mean_lower_allowance,mean_upper_allowance,function_coverage,mean_classical_width,mean_learned_width,mean_relative_shrinkage,median_relative_shrinkage,fraction_strictly_narrower,mean_classical_integer_candidates,mean_learned_integer_candidates,mean_integer_candidate_reduction,class_coverage
NAND,fixed midpoint,0,0.7308886666647565,1.6552949919957833,0.95,3.7146176046176054,3.2560289710289707,0.9635009765625,18.378763147151517,6.967408025366629,0.6126802093487096,0.6213401621852326,0.999969482421875,18.347076416015625,6.9639434814453125,0.6118957897008637,0.9506578947368421
NAND,bracket coordinates,2,0.7793052835146871,1.4990129169917614,0.95,3.1633893873524817,3.256618193526484,0.96533203125,18.378763147151517,6.419979901508281,0.6430738861998728,0.6513763761542062,0.9999847412109375,18.347076416015625,6.4061737060546875,0.6430569322309767,0.9483805668016194
NAND,certificates,4,0.8704413964115747,1.1485305097238183,0.95,2.5490769738409815,2.554344953429959,0.96929931640625,18.378763147151517,5.101772495301195,0.716380391956793,0.7223655257615691,1.0,18.347076416015625,5.11932373046875,0.7146980010478909,0.9531882591093117
NAND,algebraic + phase,10,0.8817645030103833,1.0971938073135825,0.95,2.5092961575476065,2.2153132343944355,0.964263916015625,18.378763147151517,4.726737754924776,0.737149299672722,0.7431024277352478,1.0,18.347076416015625,4.7242431640625,0.7367206017730094,0.9521761133603239
NAND,all corrections,14,0.9335164243872706,0.8227475380666298,0.95,1.9801033121277765,1.6279026060974195,0.959625244140625,18.378763147151517,3.6061513807465886,0.7995280042289322,0.8045414948975659,1.0,18.347076416015625,3.6016693115234375,0.7993249757017814,0.9471153846153846
NAND,compact sandwich,16,0.9458964534078335,0.7422022636342891,0.95,1.6722643544134796,1.5603512981603056,0.963104248046875,18.378763147151517,3.231981413924788,0.8203148561107863,0.8242221290925242,1.0,18.347076416015625,3.2274017333984375,0.8202149320123693,0.9509109311740891
NOR,fixed midpoint,0,0.7308886666647564,1.6552949919957838,0.95,3.68125,3.2771743534243525,0.965301513671875,18.378763147151517,6.962119080692459,0.6128833304829703,0.6232123212321232,0.999908447265625,18.347076416015625,6.9670867919921875,0.6116230166036593,0.951417004048583
NOR,bracket coordinates,2,0.779742644688597,1.497526847920538,0.95,3.1804365114024087,3.2913241068530903,0.97186279296875,18.378763147151517,6.470691110090326,0.6402594493303081,0.6487901440139839,0.999969482421875,18.347076416015625,6.48944091796875,0.6387421277887102,0.957742914979757
NOR,certificates,4,0.8695156337274123,1.1526266253717663,0.95,2.5150558946765567,2.5772656716514915,0.9695587158203125,18.378763147151517,5.093121369526742,0.7168319351267545,0.7255174672796887,1.0,18.347076416015625,5.08514404296875,0.7165292521490663,0.9544534412955465
NOR,algebraic + phase,10,0.8384094999252294,1.2826770361461297,0.95,2.7029715218306416,2.725785410739154,0.9607391357421875,18.378763147151517,5.429122347655516,0.6981457351233618,0.7047143998049326,1.0,18.347076416015625,5.4267578125,0.6973908997551581,0.9481275303643725
NOR,all corrections,14,0.922121364362108,0.890468527267797,0.95,2.121081224454484,1.8857932685291878,0.9706573486328125,18.378763147151517,4.007020384132629,0.7772099755508816,0.7820180664139836,1.0,18.347076416015625,4.0046539306640625,0.7767534784039584,0.957995951417004
NOR,compact sandwich,16,0.9300081668486689,0.8441761754855137,0.95,1.9147359042199086,1.8296805522772772,0.9663238525390625,18.378763147151517,3.7430973180507454,0.791921951721282,0.7968454516438175,1.0,18.347076416015625,3.73760986328125,0.7918016159672077,0.9526821862348178
AND_OR_NOT,fixed midpoint,0,0.11959448201972889,2.4448610891649256,0.95,0.006349206349206327,4.1412698412698425,0.976776123046875,9.066909950265662,3.947983344644723,0.5558248788631698,0.5466366158113729,0.99993896484375,9.14801025390625,4.033294677734375,0.5472375292825122,0.9686234817813765
AND_OR_NOT,bracket coordinates,2,0.9103211844103789,0.7802930570137904,0.95,1.955220189151738,1.336263968007006,0.963104248046875,9.066909950265662,3.2571891604832404,0.6241577947839463,0.6456560764850565,0.998382568359375,9.14801025390625,3.37579345703125,0.6152342281538449,0.9539473684210527
AND_OR_NOT,certificates,4,0.9030705412306033,0.8112238390716094,0.95,2.245563783289666,1.4254780146541748,0.963287353515625,9.066909950265662,3.6335916308814546,0.5805599628596935,0.6067797334750349,0.996856689453125,9.14801025390625,3.6572113037109375,0.582335300384159,0.9524291497975709
AND_OR_NOT,algebraic + phase,10,0.9071954527530732,0.793775040652658,0.95,1.8523126788591249,1.5002221309975163,0.96026611328125,9.066909950265662,3.32170829315011,0.6163556596860321,0.6388458852034563,0.99713134765625,9.14801025390625,3.3336029052734375,0.6186127512657968,0.9476214574898786
AND_OR_NOT,all corrections,14,0.9347322575322209,0.6656747844676718,0.95,1.8469165011982134,1.2280135486651613,0.96575927734375,9.066909950265662,3.0492313320025985,0.6476096672706868,0.669217978262698,0.998382568359375,9.14801025390625,3.06597900390625,0.649472732620163,0.9557186234817814
AND_OR_NOT,compact sandwich,16,0.954177393404246,0.557766858636276,0.95,1.3675517323707698,1.1268327639936846,0.9636383056640625,9.066909950265662,2.4643773924222505,0.7153288850866361,0.7321255149252024,0.9994659423828125,9.14801025390625,2.4764404296875,0.7167708345358798,0.9524291497975709
