category,language,pairs,mean_absolute_gate_difference,median_absolute_gate_difference,q90_absolute_gate_difference,maximum_absolute_gate_difference,fraction_nonzero,fraction_at_least_3,fraction_at_least_5
parity_related,NAND,17024,1.270970394736842,1,3,8,0.7529957706766918,0.12464755639097744,0.009985902255639098
parity_related,NOR,17024,1.2683858082706767,1,3,8,0.736078477443609,0.1168937969924812,0.009281015037593985
parity_related,AND_OR_NOT,17024,0.6635338345864662,1,2,2,0.5608552631578947,0.0,0.0
other_same_descriptor,NAND,8040999,1.167152738111272,1,2,8,0.7385200520482592,0.09355566391688395,0.003578286727805836
other_same_descriptor,NOR,8040999,1.1671582100681768,1,2,8,0.7385558684934546,0.09357207978759853,0.003579779079688979
other_same_descriptor,AND_OR_NOT,8040999,0.8132186062950636,1,2,5,0.6198849172845314,0.028044276588020965,0.0004029350084485771
