language,protocol,r2,rmse
NAND,function_holdout,0.8904331574973733,1.056206851269254
NAND,orbit_holdout,0.8507796540927862,1.232603590070005
NAND,descriptor_holdout,0.7774400003681644,1.5053343196443847
NOR,function_holdout,0.8904331574973733,1.056206851269254
NOR,orbit_holdout,0.8507796540927862,1.2326035900700048
NOR,descriptor_holdout,0.7774400003681644,1.5053343196443847
AND_OR_NOT,function_holdout,0.9286190016897111,0.6961520710448666
AND_OR_NOT,orbit_holdout,0.9056629331163318,0.8003021714557972
AND_OR_NOT,descriptor_holdout,0.8434760618263971,1.0308683212046166
