language,contact,truth_table,truth_table_hex,phase_permutation_orbit_hex,anf,minimum_gates,khrapchenko_product,decision_tree_leaves,lower,upper,active_upper_source,cover_cost_k_plus_1,cover_construction,tied_cover_constructions,cover_cubes_01_dash
AND_OR_NOT,upper,53167,0xcfaf,0x028a,1 + x2 + x0*x2 + x0*x2*x3 + x1*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,DNF(f),DNF(f),--0- 1--0 -1-1
AND_OR_NOT,upper,53184,0xcfc0,0x03cf,x1*x2 + x3 + x2*x3,4,2.25,4,2.25,5.0,exact prime cover,5,CNF(f),DNF(f);CNF(f),--00 -01-
AND_OR_NOT,upper,53189,0xcfc5,0x02ce,1 + x0 + x2 + x0*x2 + x1*x2 + x0*x3 + x0*x2*x3,6,2.4,5,2.4,7.0,exact prime cover,7,CNF(f),CNF(f),1-00 -01-
AND_OR_NOT,upper,53194,0xcfca,0x01ab,x0 + x0*x2 + x1*x2 + x3 + x0*x3 + x2*x3 + x0*x2*x3,5,2.4,5,2.4,6.0,exact prime cover,6,CNF(f),CNF(f),0-00 -01-
AND_OR_NOT,upper,53196,0xcfcc,0x00af,x1 + x3 + x1*x3 + x2*x3 + x1*x2*x3,3,1.6666666666666667,4,1.6666666666666667,4.0,exact prime cover,4,DNF(f),DNF(f),-1-- --01
AND_OR_NOT,upper,53199,0xcfcf,0x00aa,1 + x2 + x1*x2,2,1.3333333333333333,3,1.3333333333333333,3.0,exact prime cover,3,CNF(f),DNF(f);CNF(f),-01-
AND_OR_NOT,upper,53231,0xcfef,0x008a,1 + x2 + x0*x2 + x1*x2 + x0*x1*x2 + x0*x2*x3 + x0*x1*x2*x3,5,1.641025641025641,5,1.641025641025641,6.0,exact prime cover,6,DNF(f),DNF(f),--0- 1--0 -1--
AND_OR_NOT,upper,53248,0xd000,0x2fff,x2*x3 + x0*x2*x3 + x0*x1*x2*x3,4,1.641025641025641,5,1.641025641025641,5.0,exact prime cover,5,CNF(f),CNF(f),---0 --0- 10--
AND_OR_NOT,upper,53376,0xd080,0x1bff,x0*x1*x2 + x2*x3 + x0*x2*x3,5,2.083333333333333,5,2.083333333333333,6.0,exact prime cover,6,CNF(f),CNF(f),--0- 0--0 10--
AND_OR_NOT,upper,53384,0xd088,0x1bdf,x0*x1 + x0*x1*x3 + x2*x3 + x0*x2*x3 + x0*x1*x2*x3,7,2.6181818181818177,7,2.6181818181818177,8.0,exact prime cover,8,CNF(f),CNF(f),0--0 10-- --01
AND_OR_NOT,upper,53456,0xd0d0,0x0aff,x2 + x0*x2 + x0*x1*x2,3,1.6666666666666667,4,1.6666666666666667,4.0,exact prime cover,4,CNF(f),CNF(f),--0- 10--
AND_OR_NOT,upper,53469,0xd0dd,0x0ace,1 + x0 + x0*x1 + x3 + x0*x3 + x0*x1*x3 + x2*x3 + x0*x2*x3 + x0*x1*x2*x3,5,2.2857142857142856,7,2.2857142857142856,6.0,exact prime cover,6,CNF(f),CNF(f),10-- --01
