feature,status,family,language,distinct_values,pearson_r,spearman_rho,eta_squared,adjusted_eta_squared,expected_null_eta_squared,conditional_ceiling_gain
constant_faces_codimension_2,new,restrictions,NAND,16,-0.6094065069207724,-0.645933276215097,0.45123254118384676,0.45110690760811034,0.00022888532845044633,0.007467191321770539
constant_faces_codimension_2,new,restrictions,NOR,16,-0.6094065069207724,-0.645933276215097,0.45123254118384676,0.45110690760811034,0.00022888532845044633,0.007467191321770539
constant_faces_codimension_2,new,restrictions,AND_OR_NOT,16,-0.7353498726414491,-0.7491000168673988,0.5913751717572626,0.5912816221170971,0.00022888532845044633,0.013226313322334593
constant_faces_codimension_3,new,restrictions,NAND,15,-0.774582484324499,-0.7648443728727746,0.6151469084175726,0.615064676106067,0.0002136263065537499,0.0
constant_faces_codimension_3,new,restrictions,NOR,15,-0.774582484324499,-0.7648443728727746,0.6151469084175726,0.615064676106067,0.0002136263065537499,0.0
constant_faces_codimension_3,new,restrictions,AND_OR_NOT,15,-0.8598778164088184,-0.8482337631737671,0.7445360781041669,0.7444814926291812,0.0002136263065537499,0.0
decision_tree_depth,new,decision trees,NAND,5,0.32831349047966135,0.3168466894341888,0.10902188208511512,0.10896749694721608,6.103608758678569e-05,0.0010478585823028297
decision_tree_depth,new,decision trees,NOR,5,0.32831349047966135,0.3168466894341888,0.10902188208511512,0.10896749694721608,6.103608758678569e-05,0.0010478585823028297
decision_tree_depth,new,decision trees,AND_OR_NOT,5,0.32308244468508945,0.30676083167968027,0.10625659034630874,0.10620203641551851,6.103608758678569e-05,0.0012415039848427956
decision_tree_leaf_count,new,decision trees,NAND,16,0.8430036980716626,0.8284475556843347,0.7127049384198294,0.7126391657408963,0.00022888532845044633,0.00753093859536369
decision_tree_leaf_count,new,decision trees,NOR,16,0.8430036980716626,0.8284475556843347,0.7127049384198294,0.7126391657408963,0.00022888532845044633,0.00753093859536369
decision_tree_leaf_count,new,decision trees,AND_OR_NOT,16,0.9023065554565016,0.8884779526313475,0.8170677550585963,0.81702587496589,0.00022888532845044633,0.01415506443819825
and_factorable_partitions,new,factorability,NAND,7,-0.12061323683553725,-0.1217426047760519,0.020056183883163502,0.019966457763480605,9.155413138017853e-05,4.495960736428106e-05
and_factorable_partitions,new,factorability,NOR,7,-0.2334387886005783,-0.23061799207691772,0.07271699451787451,0.07263209015441874,9.155413138017853e-05,0.0001528626650384446
and_factorable_partitions,new,factorability,AND_OR_NOT,7,-0.24848938233086018,-0.23620130986296506,0.0770778934048715,0.07699338833628244,9.155413138017853e-05,0.0002292422274692285
or_factorable_partitions,new,factorability,NAND,7,-0.2334387886005783,-0.23061799207691772,0.07271699451787454,0.07263209015441874,9.155413138017853e-05,0.0001528626650384446
or_factorable_partitions,new,factorability,NOR,7,-0.12061323683553725,-0.1217426047760519,0.020056183883163502,0.019966457763480605,9.155413138017853e-05,4.495960736428106e-05
or_factorable_partitions,new,factorability,AND_OR_NOT,7,-0.24848938233086018,-0.23620130986296506,0.07707789340487149,0.07699338833628244,9.155413138017853e-05,0.0002292422274692285
xor_factorable_partitions,new,factorability,NAND,7,0.04921561339510883,0.06064349296440863,0.012799471284134039,0.012709080721600041,9.155413138017853e-05,0.00026825899060667346
xor_factorable_partitions,new,factorability,NOR,7,0.04921561339510883,0.06064349296440863,0.012799471284134039,0.012709080721600041,9.155413138017853e-05,0.00026825899060667346
xor_factorable_partitions,new,factorability,AND_OR_NOT,7,0.0442575239481444,0.055665435000709,0.01233283798283413,0.012242404694181697,9.155413138017853e-05,0.0004270198354817678
prime_0_count,new,prime cubes,NAND,14,0.6188168771921874,0.6202773730083094,0.4133927287707942,0.413276341991911,0.00019836728465705348,0.009724683388938615
prime_0_count,new,prime cubes,NOR,14,0.37399051484385964,0.3647619653312087,0.1575087983120202,0.15734164246174176,0.00019836728465705348,0.01157265399739904
prime_0_count,new,prime cubes,AND_OR_NOT,14,0.5535306179406243,0.54539091598075,0.3508303662576541,0.35070156669050645,0.00019836728465705348,0.013934828641845698
prime_0_mean_literals,new,prime cubes,NAND,54,0.3554955720895606,0.3253536057091806,0.35359937660099927,0.3530761910990271,0.0008087281605249104,0.008978424532844587
prime_0_mean_literals,new,prime cubes,NOR,54,0.75861529147902,0.7641830678105569,0.6764756059399594,0.6762137508823072,0.0008087281605249104,0.011340106595270849
prime_0_mean_literals,new,prime cubes,AND_OR_NOT,54,0.5872070488089522,0.5654924167313607,0.5140819906830152,0.5136886970375278,0.0008087281605249104,0.012727245929648245
prime_0_minimum_literals,new,prime cubes,NAND,5,0.18851862708191958,0.1698601152105362,0.03800007257887472,0.037941352282989005,6.103608758678569e-05,0.00462419171538786
prime_0_minimum_literals,new,prime cubes,NOR,5,0.5936871198371995,0.5953049588338613,0.3532513229613687,0.3532118455429233,6.103608758678569e-05,0.004791017811429099
prime_0_minimum_literals,new,prime cubes,AND_OR_NOT,5,0.40518319134981595,0.38682774834518924,0.1764901339330471,0.1764398670446391,6.103608758678569e-05,0.005112517728991017
prime_1_count,new,prime cubes,NAND,14,0.37399051484385964,0.3647619653312087,0.1575087983120202,0.15734164246174176,0.00019836728465705348,0.01157265399739904
