language,features,r2,rmse
NAND,full,0.7774400003681644,1.5053343196443847
NAND,bias_degree_symmetry,0.0019880390201736375,3.1876988095542695
NAND,influences_only,0.6690618069850252,1.8356203036399166
NAND,fourier_only,0.6658508011005154,1.8445040759405493
NAND,without_influences,0.6366168860678285,1.923498173360073
NAND,without_fourier,0.7910528077115057,1.4585713443094142
NOR,full,0.7774400003681644,1.5053343196443847
NOR,bias_degree_symmetry,0.0019880390201736375,3.1876988095542695
NOR,influences_only,0.6690618069850252,1.8356203036399166
NOR,fourier_only,0.6658508011005154,1.8445040759405493
NOR,without_influences,0.6366168860678285,1.923498173360073
NOR,without_fourier,0.7910528077115058,1.458571344309414
AND_OR_NOT,full,0.8434760618263971,1.0308683212046166
AND_OR_NOT,bias_degree_symmetry,-0.05856962457509951,2.6808500605017755
AND_OR_NOT,influences_only,0.8186970124803454,1.109469303932617
AND_OR_NOT,fourier_only,0.8281011153948227,1.0803123478860222
AND_OR_NOT,without_influences,0.6356372427853063,1.5728228161639146
AND_OR_NOT,without_fourier,0.8055165281909569,1.1490903039087317
